season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Mohammed Siraj,4,,,0,5.5,12,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Kyle Jamieson,4,,,1,6.75,13,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Yuzvendra Chahal,4,,,0,10.25,8,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shahbaz Ahmed,1,,,0,14,0,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harshal Patel,4,,,5,6.75,12,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Dan Christen,2,,,0,10.5,3,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Washington Sundar,1,,,1,7,2,,,,,,
2021,,MI V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Trent Boult,4,,,1,9,12,,,,,,
2021,,MI V RCB,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Jasprit Bumrah,4,,,2,6.5,10,,,,,,
2021,,MI V RCB,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Macro Jansen,4,,,2,7,9,,,,,,
2021,,MI V RCB,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Krunal Pandya,4,,,1,6.25,9,,,,,,
2021,,MI V RCB,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rahul Chahar,4,,,0,10.75,4,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Chris Woakes,3,,,2,6,11,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Avesh Khan,4,,,2,5.75,11,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Ravichandran Ashwin,4,,,1,11.75,9,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Tom Curran,4,,,1,10,7,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Amit Mishra,3,,,0,9,4,,,,,,
2021,,CSK V DC,,,DC,"Wankhede Stadium, Mumbai",Mumbai,India,,,Marcus Stoinis,2,,,0,13,4,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Deepak Chahar,4,,,0,9,8,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Sam Curran,2,,,0,12,2,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Shardul Thakur,3.4,,,2,14.45,6,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Ravindra Jadeja,2,,,0,8,2,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Moeen Ali,3,,,0,11,2,,,,,,
2021,,CSK V DC,,,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,,,Dwayne Bravo,4,,,1,7,7,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Bhuvneshwar Kumar,4,,,1,11.25,,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Sandeep Sharma,3,,,0,11.66,,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,T Natarajan,4,,,1,9.25,,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Mohammad Nabi,4,,,2,8,,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rashid Khan,4,,,2,6,,,,,,,
2021,,SRH V KKR,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Vijay Shakar,1,,,0,14,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harbhajan Singh,1,,,0,8,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Prasidh Krishna,4,,,2,8.75,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shakib Al Hasan,4,,,1,8.5,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Pat Cummins,4,,,1,7.5,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Andre Russell,3,,,1,10.66,,,,,,,
2021,,SRH V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Varun Chakaravarthy,4,,,0,9,,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Chetan Sakariya,4,,,3,7.75,13,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Mustafizur Rahman,4,,,0,11.25,4,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Chris Morris,4,,,2,10.25,8,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Shreyas Gopal,3,,,0,13.33,3,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Ben Stokes,1,,,0,12,2,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Rahul Tewatia,2,,,0,12.5,2,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Riyan Parag,1,,,1,7,2,,,,,,
2021,,RR V PBKS,,,RR,"Wankhede Stadium, Mumbai",Mumbai,India,,,Shivam Dube,1,,,0,20,1,,,,,,
2021,,RR V PBKS,,,PBKS,"Wankhede Stadium, Mumbai",Mumbai,India,,,Mohammad Shami,4,,,2,8.25,13,,,,,,
2021,,RR V PBKS,,,PBKS,"Wankhede Stadium, Mumbai",Mumbai,India,,,Jhye Richardson,4,,,1,13.75,5,,,,,,
2021,,RR V PBKS,,,PBKS,"Wankhede Stadium, Mumbai",Mumbai,India,,,Arshdeep Singh,4,,,3,8.75,9,,,,,,
2021,,RR V PBKS,,,PBKS,"Wankhede Stadium, Mumbai",Mumbai,India,,,Riley Meredith,4,,,1,12.25,6,,,,,,
2021,,RR V PBKS,,,PBKS,"Wankhede Stadium, Mumbai",Mumbai,India,,,Murugan Ashwin,4,,,0,10.75,7,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harbhajan Singh,2,,,0,8.5,6,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Varun Chakaravarthy,4,,,1,6.75,9,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shakib Al Hasan,4,,,1,5.75,4,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Pat Cummins,4,,,2,6,12,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Prasidh Krishna,4,,,1,10.5,8,,,,,,
2021,,KKR V MI,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Andre Russell,2,,,5,7.5,6,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Trent Boult,4,,,2,6.75,12,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Marco Jansen,2,,,0,8.5,5,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Jasprit Bumrah,4,,,0,7,9,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Krunal Pandya,4,,,1,3.25,13,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Kieron Pollard,1,,,0,12,2,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rahul Chahar,4,,,4,6.75,11,,,,,,
2021,,KKR V MI,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rohit Sharma,1,,,0,9,0,,,,,,
2021,,SRH V RCB,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Bhuvneshwar Kumar,4,,,1,7.5,10,,,,,,
2021,,SRH V RCB,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Jason Holder,4,,,3,7.5,13,,,,,,
2021,,SRH V RCB,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shahbaz Ahmed,4,,,1,9,9,,,,,,
2021,,SRH V RCB,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,T Natarajan,4,,,1,8,7,,,,,,
2021,,SRH V RCB,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rashid Khan,4,,,2,4.5,10,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Mohammed Siraj,4,,,2,6.25,14,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Kyle Jamieson,3,,,1,10,9,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Washington Sundar,2,,,0,7,7,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Yuzvendra Chahal,4,,,0,7.25,9,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harshal Patel,4,,,2,6.25,10,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Dan Christen,1,,,0,7,1,,,,,,
2021,,SRH V RCB,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shahbaz Ahmed,2,,,3,3.5,6,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Chetan Sakariya,4,,,0,8.25,5,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Jaydev Unadkat,4,,,3,3.75,15,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Chris Morris,3,,,1,9,7,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Mustafizur Rahman,4,,,2,7.25,11,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Riyan Parag,2,,,0,8,3,,,,,,
2021,,RR V DC,,,RR,"Wankhede Stadium, Mumbai", Mumbai,India,,,Rahul Tewatia,3,,,0,9,6,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Chris Woakes,4,,,2,5.5,13,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Avesh Khan,4,,,3,8,11,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Kagiso Rabada,4,,,2,7.5,12,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Ravichandran Ashwin,3,,,0,4.66,5,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Tom Curran,3.4,,,0,9.54,6,,,,,,
2021,,RR V DC,,,DC,"Wankhede Stadium, Mumbai", Mumbai,India,,,Marcus Stoinis,1,,,0,15,0,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Deepak Chahar,4,,,4,3.25,18,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Sam Curran,3,,,1,4,12,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Shardul Thakur,4,,,0,8.75,8,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Ravindra Jadeja,4,,,0,4.75,14,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Moeen Ali,3,,,1,5.66,6,,,,,,
2021,,PBKS V CSK,,,CSK,"Wankhede Stadium, Mumbai", Mumbai,India,,,Dwayne Bravo,2,,,1,5,6,,,,,,
2021,,PBKS V CSK,,,PBKS,"Wankhede Stadium, Mumbai", Mumbai,India,,,Mohammad Shami,4,,,2,5.25,11,,,,,,
2021,,PBKS V CSK,,,PBKS,"Wankhede Stadium, Mumbai", Mumbai,India,,,Jhye Richardson,3,,,0,7,11,,,,,,
2021,,PBKS V CSK,,,PBKS,"Wankhede Stadium, Mumbai", Mumbai,India,,,Arshdeep Singh,2,,,1,3.5,8,,,,,,
2021,,PBKS V CSK,,,PBKS,"Wankhede Stadium, Mumbai", Mumbai,India,,,Riley Meredith,3.4,,,0,5.72,14,,,,,,
2021,,PBKS V CSK,,,PBKS,"Wankhede Stadium, Mumbai", Mumbai,India,,,Murugan Ashwin,3,,,1,10.66,5,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Bhuvneshwar Kumar,4,,,0,11.25,6,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Khaleel Ahmed,4,,,1,6,12,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Mujeeb Ur Rahman,4,,,2,1.25,10,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Abishek Sharma,1,,,0,5,2,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Vijay Shakar,3,,,2,6.33,8,,,,,,
2021,,MI V SRH,,,SRH,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rashid Khan,4,,,0,5.5,11,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Trent Boult,3.4,,,3,7.63,12,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Jasprit Bumrah,4,,,1,3.5,12,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Adam Milne,3,,,0,11,4,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Krunal Pandya,3,,,1,10,8,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Rahul Chahar,4,,,3,4.75,13,,,,,,
2021,,MI V SRH,,,MI,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Kieron Pollard,2,,,0,5,5,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harbhajan Singh,4,,,0,9.5,10,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Varun Chakaravarthy,4,,,2,9.75,6,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Shakib Al Hasan,2,,,0,12,2,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Pat Cummins,4,,,1,8.5,6,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Prasidh Krishna,4,,,1,7.75,10,,,,,,
2021,,RCB V KKR,,,KKR,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Andre Russell,2,,,0,19,3,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Mohammed Siraj,3,,,0,5.56,11,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Kyle Jamieson,3,,,3,13.66,7,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Yuzvendra Chahal,4,,,2,8.5,10,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Washington Sundar,4,,,1,8.25,7,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Glenn Maxwell,2,,,0,12,3,,,,,,
2021,,RCB V KKR,,,RCB,"MA Chidambaram StadiumMA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,,,Harshal Patel,4,,,2,4.25,7,,,,,,
